course,date,start_time,end_time
1CW/Lab/Computing (see rota)[4]C (),01/11/2024,09:00,11:00
1P2/Structures[3]L Allwood(Constance Tipper),01/11/2024,11:00,12:00
1P4/Mathematical Methods[4]L Savory(Constance Tipper),01/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[4]C (),01/11/2024,14:00,17:00
1CW/Structural Design (see lab rota)[4]L (Lecture Room 3A),04/11/2024,09:00,11:00
1CW/Lab/Computing (see rota)[4]C (),04/11/2024,09:00,11:00
1P1/Mechanics[4]L Butlin/Talbot(Constance Tipper),04/11/2024,11:00,12:00
1P4/Mathematical Methods[4]L Savory(Constance Tipper),04/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[4]C (),04/11/2024,14:00,17:00
1PX/Engineer in Society[4]L Minshall(Constance Tipper),05/11/2024,09:00,10:00
1P1/Mechanics[4]L Butlin/Talbot(Constance Tipper),05/11/2024,10:00,11:00
1CW/Structural Design (see lab rota)[4]L (Lecture Room 3A),05/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[4]C (),05/11/2024,11:00,13:00
1CW/Industrial Placements workshop[1]L Houghton(Lecture Theatre 1),05/11/2024,13:00,14:00
1CW/Lab/Computing (see rota)[4]C (),05/11/2024,14:00,17:00
1P3/Analysis of Circuits[1]L Wilkinson(Constance Tipper),06/11/2024,09:00,10:00
1P2/Structures[4]L Allwood(Constance Tipper),06/11/2024,10:00,11:00
1P3/Analysis of Circuits[2]L Wilkinson(Constance Tipper),07/11/2024,09:00,10:00
1PX/Engineering Applications[1]L Long_PJG(Constance Tipper),07/11/2024,10:00,11:00
1CW/Structural Design (see lab rota)[5]L (Lecture Room 3A),07/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[5]C (),07/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[5]C (),07/11/2024,14:00,17:00
1CW/Lab/Computing (see rota)[5]C (),08/11/2024,09:00,11:00
1CW/Structural Design (see lab rota)[5]L (Lecture Room 3A),08/11/2024,09:00,11:00
1P2/Structures[4]L Allwood(Constance Tipper),08/11/2024,11:00,12:00
1P4/Mathematical Methods[1]L Lasenby(Constance Tipper),08/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[5]C (),08/11/2024,14:00,17:00
1CW/Structural Design (see lab rota)[5]L (Lecture Room 3A),11/11/2024,09:00,11:00
1CW/Lab/Computing (see rota)[5]C (),11/11/2024,09:00,11:00
1P1/Mechanics[5]L Butlin/Talbot(Constance Tipper),11/11/2024,11:00,12:00
1P4/Mathematical Methods[1]L Lasenby(Constance Tipper),11/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[5]C (),11/11/2024,14:00,17:00
1PX/Engineer in Society[5]L Minshall(Constance Tipper),12/11/2024,09:00,10:00
1P1/Mechanics[5]L Butlin/Talbot(Constance Tipper),12/11/2024,10:00,11:00
1CW/Lab/Computing (see rota)[5]C (),12/11/2024,11:00,13:00
1CW/Structural Design (see lab rota)[5]L (Lecture Room 3A),12/11/2024,11:00,13:00
1CW/Industrial Placements workshop[2]L Houghton(Lecture Theatre 1),12/11/2024,13:00,14:00
1CW/Lab/Computing (see rota)[5]C (),12/11/2024,14:00,17:00
1P3/Analysis of Circuits[2]L Wilkinson(Constance Tipper),13/11/2024,09:00,10:00
1P2/Structures[5]L Allwood(Constance Tipper),13/11/2024,10:00,11:00
1P3/Analysis of Circuits[3]L Wilkinson(Constance Tipper),14/11/2024,09:00,10:00
1PX/Engineering Applications[2]L Long_PJG(Constance Tipper),14/11/2024,10:00,11:00
1CW/Structural Design (see lab rota)[6]L (Lecture Room 3A),14/11/2024,11:00,13:00
